code,year,quarter,roe,gross_margin,net_margin,profit_yoy,asset_turnover,inventory_turnover,liability_to_asset,current_ratio,cfo_to_revenue,cfo_to_profit,interest_coverage,buy_price,pe,pb,ps
sh600022,2025,4,0.005471,0.09401,0.008593,1.186811,0.815999,9.535011,0.647118,0.356282,0.065329,7.602533,1.829143,,,,
sh600117,2019,1,0.01465,0.120916,0.005869,-0.174247,0.081423,0.552232,0.926369,0.565157,-0.006192,-1.055070,1.028630,,,,
sh600117,2019,2,0.051905,0.134116,0.009291,3.909399,0.190003,1.266258,0.924031,0.576450,0.072129,7.763626,1.167121,,,,
sh600117,2019,3,0.075955,0.125368,0.008212,1.093516,0.295816,1.92208,0.836482,0.604144,0.058799,7.160021,1.136927,,,,
sh600117,2019,4,0.077848,0.143515,0.014489,1.069998,0.442251,2.999371,0.767080,0.679136,0.039267,2.710105,1.381387,,,,
sh600117,2020,1,-0.074032,0.103597,-0.05024,-8.694852,0.080286,0.622724,0.773328,0.689471,-0.127759,,0.348317,,,,
sh600117,2020,2,0.017091,0.109487,0.011818,0.225605,0.199364,1.561595,0.771285,0.608721,0.040875,3.458588,7.161584,,,,
sh600117,2020,3,0.006929,0.128294,0.010171,0.296052,0.325213,2.486598,0.770093,0.538068,0.089630,8.812696,1.146095,,,,
sh600117,2020,4,0.04197,0.128185,0.010746,-0.241049,0.485621,3.668094,0.758310,0.508480,0.091315,8.497359,2.434180,,,,
sh600117,2021,1,-0.048182,0.112887,4.5e-05,1.00132,0.122888,0.860352,0.755544,0.507724,0.019225,428.214883,0.893121,,,,
sh600117,2021,2,-0.068868,0.112745,0.003619,-0.576049,0.290074,1.989495,0.754284,0.497820,0.091577,25.303280,1.429382,,,,
sh600117,2021,3,-0.162236,0.096094,-0.013407,-2.748041,0.459405,3.157497,0.754617,0.474427,0.080250,,0.644605,,,,
sh600117,2021,4,-1.328309,0.083921,-0.218077,-25.630748,0.626938,4.757587,0.881953,0.547786,0.114994,,-3.874160,,,,
sh600117,2022,1,-1.079198,0.035823,-0.094388,-2536.732715,0.171641,1.301292,0.885704,0.482683,0.023500,,-1.205829,,,,
sh600117,2022,2,-5.345925,0.027325,-0.11319,-30.643459,0.302739,2.425022,0.914247,0.530868,0.038528,,-1.399506,,,,
sh600117,2022,3,,0.006178,-0.148452,-7.701471,0.399554,3.28396,0.935754,0.591137,0.051668,,-1.586214,,,,
sh600117,2022,4,,-0.009035,-0.209574,0.390103,0.439373,3.629993,0.966484,0.434834,0.050321,,-2.119525,,,,
sh600117,2023,1,,-0.022677,-0.284267,-0.31573,0.07883,0.651714,0.988464,0.430983,0.040708,,-1.756276,,,,
sh600117,2023,2,,-0.036762,-0.474575,-0.966671,0.163805,1.358118,0.952426,0.418278,0.031198,,-4.127693,,,,
sh600117,2023,3,,-0.049485,-0.430904,-0.336157,0.213036,1.776194,0.962925,0.403088,0.029858,,-4.215345,,,,
sh600117,2023,4,0.74773,-0.066633,0.253611,1.770497,0.320942,3.080821,0.450685,1.008720,-0.073007,-0.287868,4.929359,,,,
sh600117,2024,1,-0.036261,-0.045229,-0.210937,0.345833,0.084948,0.892018,0.443191,0.905940,-0.345455,,-5.543856,,,,
sh600117,2024,2,-0.056235,-0.047367,-0.149996,0.672088,0.198682,2.034678,0.004462,0.851795,-0.079660,,-5.428784,,,,
sh600117,2024,3,-0.077411,-0.068837,-0.14379,0.584191,0.304221,3.222853,0.004519,0.826976,-0.049726,,-4.438899,,,,
sh600117,2024,4,-0.173638,-0.068128,-0.215315,-1.982745,0.433654,4.543493,0.004727,0.678703,-0.019436,,-36.440519,,,,
